read,domain,e-value
BK1426.c27f11s17|apr11.P3.MID50.GY7WJEE03GM9FP.HiQual|BK1426|Gabon_Bakoumba;sample=BK1426;size=1;,DBLa0.1,3.8e-51
UG60238.c118f5s5|mar13.P3.MID32.H6VQLNR03F3B5I_rc|UG60238|Uganda_Apac;sample=UG60238;size=1;,DBLa0.17,1.1e-50
UG70088.c7f40s72|aug13.P2.MID61-1.IE15TFC02GVF96|UG70088|Uganda_Arua;sample=UG70088;size=1;,DBLa1.2,1.4e-50
UG80172.c17f28s43|aug13.P2.MID44-45.IE15TFC02F5K60|UG80172|Uganda_Jinja;sample=UG80172;size=1;,DBLa1.8,9.3e-54
UG80482.c53f9s13|aug13.P2.MID55-55.IE15TFC02HAKTS|UG80482|Uganda_Jinja;sample=UG80482;size=1;,DBLa0.11,1.9e-49
MRS0150.c30f17s29|apr13.P1.MID13-13.H8MRBDT01BYCL0|MRS0150|Ghana_VeaGowrie;sample=MRS0150;size=1;,DBLa0.5,1.5e-58
UG80819.c114f3s8|may13.P1.MID48-49.IAK27MS01A7T4Q|UG80819|Uganda_Jinja;sample=UG80819;size=1;,DBLa0.1,2.9e-59
MRS0484.c228f5s7|apr13.P2.MID32-32.H8MRBDT02HKI0V_rc.HiQual|MRS0484|Ghana_Soe;sample=MRS0484;size=1;,DBLa0.10,2e-52
BK668.c34f10s14|apr11.P2.MID40.GY7WJEE02D5SSN.HiQual|BK668|Gabon_Bakoumba;sample=BK668;size=1;,DBLa0.22,6.1e-51
UG50264.c55f5s13|may13.P2.MID59-60.IAK27MS02G1K5S_rc|UG50264|Uganda_Kyenjojo;sample=UG50264;size=1;,DBLa0.3,4.4e-47
MRS0079.c38f5s6|apr13.P2.MID05-07.H8MRBDT02JALEX|MRS0079|Ghana_VeaGowrie;sample=MRS0079;size=1;,DBLa0.23,2.1e-43
UG10429.c20f15s17|mar13.P1.MID16.H6VQLNR01BDTJR.HiQual|UG10429|Uganda_Tororo;sample=UG10429;size=3;,DBLa0.17,5.4e-55
UG80797.c16f4s46|may13.P2.MID58-60.IAK27MS02GCNT4_rc|UG80797|Uganda_Jinja;sample=UG80797;size=1;,DBLa0.17,6.8e-55
UG50551.c124f3s4|may13.P2.MID1-3.IAK27MS02FG1LZ|UG50551|Uganda_Kyenjojo;sample=UG50551;size=2;,DBLa0.12,9.7e-48
MRS0064.c78f4s7|apr13.P1.MID04-06.H8MRBDT01EVYBW|MRS0064|Ghana_VeaGowrie;sample=MRS0064;size=1;,DBLa0.5,2e-54
BK832.c40f20s20|apr11.P2.MID46.GY7WJEE02EPU12.HiQual|BK832|Gabon_Bakoumba;sample=BK832;size=2;,DBLa0.11,9.1e-56
UG80152.c52f10s18|aug13.P1.MID44-45.IE15TFC01AGTRT.HiQual|UG80152|Uganda_Jinja;sample=UG80152;size=1;,DBLa0.5,9.4e-59
UG60281.c141f3s4|mar13.P2.MID33.H6VQLNR02DEETV|UG60281|Uganda_Apac;sample=UG60281;size=1;,DBLa0.11,2.5e-38
MRS0438.c165f3s4|apr13.P1.MID29-31.H8MRBDT01C3AMT|MRS0438|Ghana_Soe;sample=MRS0438;size=1;,DBLa0.8,3e-54
BK1039.c31f3s4|apr11.P4.MID55.GY7WJEE04IG1T0_rc|BK1039|Gabon_Bakoumba;sample=BK1039;size=1;,DBLa0.11,9.2e-61
UG80217.c23f27s47|aug13.P2.MID49-49.IE15TFC02H55CP.HiQual|UG80217|Uganda_Jinja;sample=UG80217;size=2;,DBLa0.12,3.6e-46
BK950.c6f14s24|apr11.P4.MID50.GY7WJEE04JP0OK.HiQual|BK950|Gabon_Bakoumba;sample=BK950;size=1;,DBLa0.9,2.2e-55
UG10324.c4f30s42|mar13.P2.MID10.H6VQLNR02D239W|UG10324|Uganda_Tororo;sample=UG10324;size=1;,DBLa0.3,2.4e-53
MRS0615.c69f14s17|may13.P2.MID39-40.IAK27MS02HRN5G|MRS0615|Ghana_Soe;sample=MRS0615;size=1;,DBLa0.1,2e-43
BK209.c137f4s4|apr11.P2.MID08.GY7WJEE02C2XIT|BK209|Gabon_Bakoumba;sample=BK209;size=4;,DBLa1.8,3.3e-52
UG10772.c169f3s3|mar13.P2.MID27.H6VQLNR02EIZHM_rc|UG10772|Uganda_Tororo;sample=UG10772;size=1;,DBLa0.1,1.9e-55
UG70464.c35f10s11|aug13.P2.MID6-8.IE15TFC02HZMVQ|UG70464|Uganda_Arua;sample=UG70464;size=2;,DBLa0.8,1.1e-50
MRS0254.c7f17s17|apr13.P1.MID20-21.H8MRBDT01EU4ZI.HiQual|MRS0254|Ghana_VeaGowrie;sample=MRS0254;size=7;,DBLa0.4,4.3e-50
UG70677.c55f3s7|aug13.P1.MID13-15.IE15TFC01EY7RO|UG70677|Uganda_Arua;sample=UG70677;size=1;,DBLa0.1,1.7e-53
MRS0051.c112f3s4|apr13.P1.MID04-05.H8MRBDT01BZT0L|MRS0051|Ghana_VeaGowrie;sample=MRS0051;size=1;,DBLa0.16,1.8e-56
UG80410.c33f15s20|aug13.P1.MID53-55.IE15TFC01EFMTK_rc|UG80410|Uganda_Jinja;sample=UG80410;size=1;,DBLa1.8,1.3e-51
BK1400.c18f4s4|apr11.P1.MID16.GY7WJEE01B660X|BK1400|Gabon_Bakoumba;sample=BK1400;size=1;,DBLa0.8,1.5e-54
UG70160.c53f8s13|aug13.P2.MID62-2.IE15TFC02JUMV2|UG70160|Uganda_Arua;sample=UG70160;size=1;,DBLa0.9,8.7e-55
BK277.c20f5s8|apr11.P1.MID11.GY7WJEE01BXGZW|BK277|Gabon_Bakoumba;sample=BK277;size=1;,DBLa0.5,1.7e-50
UG30709.c73f12s15|oct12.P2.MID56.HWSTXOD02DJEM5.HiQual|UG30709|Uganda_Kanungu;sample=UG30709;size=2;,DBLa0.1,4.3e-56
UG80029.c27f27s35|aug13.P2.MID42-43.IE15TFC02I4E8X|UG80029|Uganda_Jinja;sample=UG80029;size=1;,DBLa1.8,3e-53
UG60540.c56f6s6|mar13.P2.MID42.H6VQLNR02DACJI|UG60540|Uganda_Apac;sample=UG60540;size=5;,DBLa0.11,8.3e-59
MRS0403.c122f3s3|apr13.P2.MID27-27.H8MRBDT02JEDVR_rc|MRS0403|Ghana_Soe;sample=MRS0403;size=1;,DBLa0.24,2.9e-45
BK894.c8f48s62|apr11.P4.MID48.GY7WJEE04I9ZWE.HiQual|BK894|Gabon_Bakoumba;sample=BK894;size=2;,DBLa0.11,1.4e-56
UG30024.c29f5s6|oct12.P2.MID36.HWSTXOD02DNGTE|UG30024|Uganda_Kanungu;sample=UG30024;size=6;,DBLa1.2,5.6e-54
UG60490.c106f4s7|mar13.P3.MID40.H6VQLNR03GWCM0_rc|UG60490|Uganda_Apac;sample=UG60490;size=1;,DBLa0.8,1.1e-52
UG10728.c42f3s17|mar13.P1.MID26.H6VQLNR01BTV29_rc|UG10728|Uganda_Tororo;sample=UG10728;size=1;,DBLa0.11,1e-57
BK419.c108f3s5|apr11.P2.MID20.GY7WJEE02C7M8B|BK419|Gabon_Bakoumba;sample=BK419;size=1;,DBLa0.5,2.6e-47
UG80139.c51f7s16|aug13.P2.MID46-46.IE15TFC02J4V1P|UG80139|Uganda_Jinja;sample=UG80139;size=1;,DBLa0.1,3.8e-56
MRS0354.c11f14s26|apr13.P2.MID24-26.H8MRBDT02JOY0D.HiQual|MRS0354|Ghana_VeaGowrie;sample=MRS0354;size=2;,DBLa1.8,1.4e-54
UG70213.c55f6s6|aug13.P1.MID2-2.IE15TFC01D55IG_rc|UG70213|Uganda_Arua;sample=UG70213;size=1;,DBLa0.1,1.9e-46
UG60525.c112f5s6|mar13.P1.MID42.H6VQLNR01A28VC|UG60525|Uganda_Apac;sample=UG60525;size=1;,DBLa0.11,2e-60
UG10370.c21f18s23|mar13.P2.MID13.H6VQLNR02D6IYM.HiQual|UG10370|Uganda_Tororo;sample=UG10370;size=2;,DBLa0.3,4.2e-44
UG10213.c26f16s20|mar13.P3.MID06.H6VQLNR03GWFHI|UG10213|Uganda_Tororo;sample=UG10213;size=3;,DBLa0.5,5.5e-51
UG10712.c5f26s32|mar13.P1.MID25.H6VQLNR01B2N2T.HiQual|UG10712|Uganda_Tororo;sample=UG10712;size=5;,DBLa0.23,1.4e-46
UG70274.c18f26s35|aug13.P2.MID3-5.IE15TFC02IFCT6.HiQual|UG70274|Uganda_Arua;sample=UG70274;size=2;,DBLa0.8,3.7e-49
BK774.c19f7s9|apr11.P4.MID43.GY7WJEE04IMBFI.HiQual|BK774|Gabon_Bakoumba;sample=BK774;size=1;,DBLa0.19,1.2e-58
UG50229.c27f20s25|may13.P1.MID53-54.IAK27MS01BGSKM.HiQual|UG50229|Uganda_Kyenjojo;sample=UG50229;size=1;,DBLa0.8,2.3e-55
UG80553.c24f13s25|may13.P2.MID56-57.IAK27MS02HU0GU.HiQual|UG80553|Uganda_Jinja;sample=UG80553;size=1;,DBLa0.1,1.9e-54
UG50724.c3f45s86|may13.P2.MID5-6.IAK27MS02I8381.HiQual|UG50724|Uganda_Kyenjojo;sample=UG50724;size=1;,DBLa0.3,4.4e-50
UG80142.c62f7s11|may13.P1.MID54-56.IAK27MS01DFZOV|UG80142|Uganda_Jinja;sample=UG80142;size=1;,DBLa0.1,3.8e-46
BK645.c63f3s6|apr11.P1.MID39.GY7WJEE01B91QH|BK645|Gabon_Bakoumba;sample=BK645;size=1;,DBLa0.1,2e-57
IR4.c30f4s4|oct12.P2.MID1.HWSTXOD02EDYQG.HiQual|IR4|Iran_SistanBaluchestan;sample=IR4;size=1;,DBLa0.22,5.2e-54
UG70720.c136f3s5|aug13.P1.MID60-61.IE15TFC01DFNKH|UG70720|Uganda_Arua;sample=UG70720;size=9;,DBLa0.13,4.1e-58
MH19.c33f17s22|oct12.P3.MID20.HWSTXOD03GKTHG.HiQual|MH19|Thailand_Maehongson;sample=MH19;size=1;,DBLa0.1,4.8e-52
UG70363.c66f6s8|aug13.P2.MID3-4.IE15TFC02IIW1P|UG70363|Uganda_Arua;sample=UG70363;size=10;,DBLa0.11,4.7e-59
UG50826.c64f19s21|aug13.P2.MID41-42.IE15TFC02JSPST|UG50826|Uganda_Kyenjojo;sample=UG50826;size=1;,DBLa0.1,1.4e-40
UG10646.c66f10s11|mar13.P4.MID22.H6VQLNR04IDIFI|UG10646|Uganda_Tororo;sample=UG10646;size=2;,DBLa0.11,7.3e-50
MRS0715.c103f3s3|may13.P1.MID45-47.IAK27MS01EIAH4|MRS0715|Ghana_Soe;sample=MRS0715;size=1;,DBLa1.5,1.1e-54
MRS0394.c166f3s3|apr13.P2.MID26-28.H8MRBDT02I5PYL|MRS0394|Ghana_Soe;sample=MRS0394;size=1;,DBLa0.1,7.5e-46
MUG16.KP220840;sample=MUG16;size=1;,DBLa0.15,1.4e-94
MRS0658.c36f5s8|may13.P1.MID41-42.IAK27MS01A5SII|MRS0658|Ghana_Soe;sample=MRS0658;size=1;,DBLa0.1,2.5e-48
MRS0541.c13f39s58|apr13.P2.MID34-36.H8MRBDT02FRKTR.HiQual|MRS0541|Ghana_Soe;sample=MRS0541;size=1;,DBLa0.1,1.2e-54
WOS14.KP220672;sample=WOS14;size=1;,DBLa0.11,1.5e-98
BK1009.c60f4s6|apr11.P4.MID53.GY7WJEE04IL0HY|BK1009|Gabon_Bakoumba;sample=BK1009;size=1;,DBLa0.9,1.7e-48
UG80062.c51f11s13|aug13.P2.MID43-43.IE15TFC02HB8UZ.HiQual|UG80062|Uganda_Jinja;sample=UG80062;size=1;,DBLa0.22,6.5e-49
UG70696.c106f8s9|aug13.P2.MID14-14.IE15TFC02I1G7W|UG70696|Uganda_Arua;sample=UG70696;size=15;,DBLa1.8,1.8e-50
UG60547.c44f3s5|mar13.P4.MID42.H6VQLNR04JU3SU|UG60547|Uganda_Apac;sample=UG60547;size=1;,DBLa0.7,1.5e-51
MRS0179.c109f4s5|apr13.P1.MID14-16.H8MRBDT01BW1BW_rc|MRS0179|Ghana_VeaGowrie;sample=MRS0179;size=2;,DBLa0.9,5.1e-50
MRS0206.c138f3s5|apr13.P2.MID16-18.H8MRBDT02G94QQ|MRS0206|Ghana_VeaGowrie;sample=MRS0206;size=1;,DBLa0.11,7.4e-58
MRS0357.c200f3s3|aug13.P1.MID15-16.IE15TFC01CV5FB_rc|MRS0357|Ghana_Soe;sample=MRS0357;size=1;,DBLa0.1,4.2e-55
UG70112.c91f9s9|aug13.P2.MID62-62.IE15TFC02GVY8U|UG70112|Uganda_Arua;sample=UG70112;size=1;,DBLa1.5,1.1e-52
BK1009.c11f20s29|apr11.P4.MID53.GY7WJEE04ILL0I.HiQual|BK1009|Gabon_Bakoumba;sample=BK1009;size=1;,DBLa0.8,7.5e-55
UG80672.c38f9s15|aug13.P1.MID58-58.IE15TFC01ERGNR|UG80672|Uganda_Jinja;sample=UG80672;size=1;,DBLa0.3,3.4e-47
UG70112.c206f3s3|aug13.P2.MID62-62.IE15TFC02JIB55_rc|UG70112|Uganda_Arua;sample=UG70112;size=1;,DBLa0.5,1.6e-53
UG70260.c145f4s4|aug13.P1.MID2-4.IE15TFC01CSU3X_rc|UG70260|Uganda_Arua;sample=UG70260;size=1;,DBLa0.19,1.2e-52
UG60501.c39f13s16|mar13.P4.MID40.H6VQLNR04I334R|UG60501|Uganda_Apac;sample=UG60501;size=2;,DBLa0.8,8.8e-51
UG70596.c70f6s9|aug13.P1.MID11-11.IE15TFC01C8JH4|UG70596|Uganda_Arua;sample=UG70596;size=11;,DBLa0.23,1.4e-51
WOS5.KP221119;sample=WOS5;size=1;,DBLa1.4,8.1e-79
UG50011.c54f3s4|may13.P1.MID49-49.IAK27MS01BJMVF_rc|UG50011|Uganda_Kyenjojo;sample=UG50011;size=2;,DBLa0.11,3.9e-60
UG10367.c56f11s12|mar13.P1.MID13.H6VQLNR01AQHMA|UG10367|Uganda_Tororo;sample=UG10367;size=1;,DBLa0.22,9.5e-56
MRS0169.c63f7s8|apr13.P2.MID14-14.H8MRBDT02F9YQF|MRS0169|Ghana_VeaGowrie;sample=MRS0169;size=1;,DBLa0.11,4.7e-56
MRS0688.c33f3s3|may13.P1.MID44-44.IAK27MS01C1H7K_rc|MRS0688|Ghana_Soe;sample=MRS0688;size=1;,DBLa0.1,4.8e-40
MRS0204.c59f4s12|jul13.P1.MID34-34.IDA9VQ201ENB3E|MRS0204|Ghana_VeaGowrie;sample=MRS0204;size=5;,DBLa0.8,1.6e-53
MRS0521.c3f42s61|apr13.P2.MID34-34.H8MRBDT02FVH9I.HiQual|MRS0521|Ghana_Soe;sample=MRS0521;size=1;,DBLa1.8,2e-60
MRS0430.c145f3s4|apr13.P1.MID29-29.H8MRBDT01D7ZIO|MRS0430|Ghana_Soe;sample=MRS0430;size=1;,DBLa0.19,1.3e-57
MRS0254.c147f4s4|apr13.P1.MID20-21.H8MRBDT01BM4R9|MRS0254|Ghana_VeaGowrie;sample=MRS0254;size=2;,DBLa0.11,1.4e-55
UG60729.c41f12s18|mar13.P2.MID48.H6VQLNR02C6QES.HiQual|UG60729|Uganda_Apac;sample=UG60729;size=2;,DBLa1.8,4.7e-56
UG30213.c75f3s4|oct12.P1.MID39.HWSTXOD01CADA2|UG30213|Uganda_Kanungu;sample=UG30213;size=1;,DBLa1.7,3.3e-50
UG80029.c83f10s13|aug13.P2.MID42-43.IE15TFC02II2TZ|UG80029|Uganda_Jinja;sample=UG80029;size=1;,DBLa0.19,9.4e-54
UG80378.c34f17s26|aug13.P2.MID51-51.IE15TFC02JGAMR|UG80378|Uganda_Jinja;sample=UG80378;size=1;,DBLa0.2,3.1e-47
MRS0438.c61f5s7|apr13.P1.MID29-31.H8MRBDT01A4WLD|MRS0438|Ghana_Soe;sample=MRS0438;size=1;,DBLa0.3,3.5e-53
UG30266.c113f3s3|oct12.P3.MID40.HWSTXOD03FQTHU_rc|UG30266|Uganda_Kanungu;sample=UG30266;size=3;,DBLa0.9,1.1e-53
IR24.c13f8s12|oct12.P2.MID3.HWSTXOD02DOQCB.HiQual|IR24|Iran_SistanBaluchestan;sample=IR24;size=3;,DBLa0.8,2.4e-52
UG50499.c8f43s66|may13.P1.MID1-1.IAK27MS01D1KVN.HiQual|UG50499|Uganda_Kyenjojo;sample=UG50499;size=1;,DBLa0.1,1.5e-50
UG80482.c29f28s40|aug13.P2.MID55-55.IE15TFC02HOWTJ.HiQual|UG80482|Uganda_Jinja;sample=UG80482;size=1;,DBLa0.11,4.8e-57
MRS0476.c74f4s4|apr13.P2.MID31-33.H8MRBDT02ICX32|MRS0476|Ghana_Soe;sample=MRS0476;size=1;,DBLa0.9,1.2e-53
BK555.c93f4s6|apr11.P4.MID30.GY7WJEE04JIZU4|BK555|Gabon_Bakoumba;sample=BK555;size=1;,DBLa0.1,3.2e-56
BK959.c75f8s11|apr11.P4.MID51.GY7WJEE04JKYHV|BK959|Gabon_Bakoumba;sample=BK959;size=1;,DBLa0.1,2.4e-54
MRS0430.c60f6s7|apr13.P1.MID29-29.H8MRBDT01CNJPE.HiQual|MRS0430|Ghana_Soe;sample=MRS0430;size=1;,DBLa0.5,2.1e-55
MRS0110.c27f8s10|apr13.P2.MID08-10.H8MRBDT02I7P8Z|MRS0110|Ghana_VeaGowrie;sample=MRS0110;size=1;,DBLa0.11,1.6e-59
UG30632.c87f3s6|oct12.P4.MID51.HWSTXOD04H1B97|UG30632|Uganda_Kanungu;sample=UG30632;size=17;,DBLa1.4,1e-46
MRS0555.c26f4s5|apr13.P1.MID35-37.H8MRBDT01A8FI7|MRS0555|Ghana_Soe;sample=MRS0555;size=1;,DBLa0.17,3.2e-52
UG30054.c76f4s12|oct12.P1.MID37.HWSTXOD01CEBR3|UG30054|Uganda_Kanungu;sample=UG30054;size=1;,DBLa0.5,2.8e-54
UG10350.c41f8s17|mar13.P2.MID11.H6VQLNR02CWLVC.HiQual|UG10350|Uganda_Tororo;sample=UG10350;size=1;,DBLa0.1,2.3e-55
MRS0691.c75f10s11|may13.P1.MID44-45.IAK27MS01C0FX0.HiQual|MRS0691|Ghana_Soe;sample=MRS0691;size=1;,DBLa0.5,2.5e-58
UG10763.c76f6s6|mar13.P3.MID26.H6VQLNR03G4GY8_rc|UG10763|Uganda_Tororo;sample=UG10763;size=1;,DBLa0.1,8.8e-57
MRS0142.c76f8s8|apr13.P1.MID11-11.H8MRBDT01D81RF.HiQual|MRS0142|Ghana_VeaGowrie;sample=MRS0142;size=1;,DBLa1.2,1.3e-54
MUG31.KP220123;sample=MUG31;size=1;,DBLa0.11,1e-105
UG60181.c120f3s5|mar13.P4.MID30.H6VQLNR04ITEJF|UG60181|Uganda_Apac;sample=UG60181;size=1;,DBLa0.2,2.9e-44
MRS0453.c84f5s6|apr13.P2.MID30-32.H8MRBDT02IVGX4|MRS0453|Ghana_Soe;sample=MRS0453;size=1;,DBLa0.8,2.6e-52
UG50321.c100f3s5|may13.P1.MID59-61.IAK27MS01DMN59|UG50321|Uganda_Kyenjojo;sample=UG50321;size=1;,DBLa0.10,4.2e-45
MRS0329.c9f45s53|jul13.P1.MID35-35.IDA9VQ201D4F1Q.HiQual|MRS0329|Ghana_VeaGowrie;sample=MRS0329;size=2;,DBLa0.5,8.7e-58
UG10432.c124f4s4|mar13.P2.MID16.H6VQLNR02D175F|UG10432|Uganda_Tororo;sample=UG10432;size=2;,DBLa0.1,6.1e-54
Col22.c20f18s25|sep11.P3.MID37.G9JXQ6K03F4ZOV.HiQual|Col22|Colombia_Turbo;sample=Col22;size=3;,DBLa2,1.5e-49
UG80553.c54f5s15|may13.P2.MID56-57.IAK27MS02GNFVR_rc|UG80553|Uganda_Jinja;sample=UG80553;size=1;,DBLa0.11,1.1e-39
UG70543.c24f14s21|aug13.P2.MID8-11.IE15TFC02IGO05|UG70543|Uganda_Arua;sample=UG70543;size=1;,DBLa0.5,1.8e-54
UG60144.c36f21s22|mar13.P1.MID30.H6VQLNR01BFOYO.HiQual|UG60144|Uganda_Apac;sample=UG60144;size=1;,DBLa0.5,1.2e-55
MRS0301.c107f4s5|apr13.P1.MID22-24.H8MRBDT01BREQJ|MRS0301|Ghana_VeaGowrie;sample=MRS0301;size=1;,DBLa0.1,3.5e-46
UG30135.c54f6s11|oct12.P3.MID37.HWSTXOD03GIF5L.HiQual|UG30135|Uganda_Kanungu;sample=UG30135;size=6;,DBLa0.6,2e-46
MRS0169.c124f3s3|apr13.P2.MID14-14.H8MRBDT02IEA69|MRS0169|Ghana_VeaGowrie;sample=MRS0169;size=1;,DBLa0.1,7e-56
UG60647.c75f7s10|mar13.P4.MID45.H6VQLNR04I3S75|UG60647|Uganda_Apac;sample=UG60647;size=1;,DBLa0.8,8e-55
MRS0436.c71f6s6|apr13.P2.MID29-30.H8MRBDT02FL7S3|MRS0436|Ghana_Soe;sample=MRS0436;size=1;,DBLa0.11,1.4e-57
MRS0587.c25f16s25|may13.P2.MID37-38.IAK27MS02ISSL4.HiQual|MRS0587|Ghana_VeaGowrie;sample=MRS0587;size=2;,DBLa0.9,9.4e-51
UG80298.c3f72s91|aug13.P2.MID50-50.IE15TFC02JI3VE|UG80298|Uganda_Jinja;sample=UG80298;size=1;,DBLa0.23,2.8e-44
MRS0357.c130f6s6|aug13.P1.MID15-16.IE15TFC01EOJHL|MRS0357|Ghana_Soe;sample=MRS0357;size=1;,DBLa0.5,8.5e-56
BK637.c24f11s14|apr11.P2.MID38.GY7WJEE02EGHD8.HiQual|BK637|Gabon_Bakoumba;sample=BK637;size=1;,DBLa0.8,1.8e-51
BK1005.c4f15s19|apr11.P2.MID53.GY7WJEE02DWIT8.HiQual|BK1005|Gabon_Bakoumba;sample=BK1005;size=1;,DBLa0.16,3.6e-56
MRS0378.c144f3s4|apr13.P1.MID25-27.H8MRBDT01CIPNU_rc|MRS0378|Ghana_Soe;sample=MRS0378;size=1;,DBLa0.16,1.2e-30
MRS0325.c40f46s54|jul13.P2.MID34-35.IDA9VQ202IEZSQ.HiQual|MRS0325|Ghana_VeaGowrie;sample=MRS0325;size=2;,DBLa0.1,2.8e-52
MUG28.KP220075;sample=MUG28;size=1;,DBLa0.11,1.2e-94
UG30713.c41f19s24|oct12.P3.MID56.HWSTXOD03FV6BG.HiQual|UG30713|Uganda_Kanungu;sample=UG30713;size=1;,DBLa0.11,1.3e-58
UG30579.c25f30s40|oct12.P2.MID49.HWSTXOD02DDHGR.HiQual|UG30579|Uganda_Kanungu;sample=UG30579;size=4;,DBLa0.1,6.8e-56
UG60335.c97f4s7|mar13.P1.MID35.H6VQLNR01BDEO1_rc|UG60335|Uganda_Apac;sample=UG60335;size=1;,DBLa0.1,2.6e-58
MRS0354.c84f4s7|apr13.P2.MID24-26.H8MRBDT02HPTJ4|MRS0354|Ghana_VeaGowrie;sample=MRS0354;size=1;,DBLa0.1,1.7e-59
UG70027.c20f23s44|aug13.P2.MID59-59.IE15TFC02HVE6V|UG70027|Uganda_Arua;sample=UG70027;size=1;,DBLa0.1,2.8e-53
UG70106.c61f5s7|aug13.P1.MID62-62.IE15TFC01BPF55|UG70106|Uganda_Arua;sample=UG70106;size=1;,DBLa0.3,3.2e-23
UG60490.c15f16s23|mar13.P3.MID40.H6VQLNR03FP2MS|UG60490|Uganda_Apac;sample=UG60490;size=2;,DBLa0.8,1.5e-53
UG70084.c71f5s6|aug13.P1.MID61-1.IE15TFC01CV2S5|UG70084|Uganda_Arua;sample=UG70084;size=1;,DBLa0.19,2.3e-55
UG80239.c59f12s16|aug13.P2.MID45-46.IE15TFC02JEPXX.HiQual|UG80239|Uganda_Jinja;sample=UG80239;size=1;,DBLa0.11,2.8e-60
BK410.c87f3s3|apr11.P3.MID19.GY7WJEE03F3AMY_rc|BK410|Gabon_Bakoumba;sample=BK410;size=3;,DBLa0.22,4.3e-56
UG10382.c89f5s8|mar13.P2.MID14.H6VQLNR02DOJ8O|UG10382|Uganda_Tororo;sample=UG10382;size=2;,DBLa0.11,3.9e-58
UG70398.c188f3s5|aug13.P2.MID5-5.IE15TFC02JVFFP|UG70398|Uganda_Arua;sample=UG70398;size=1;,DBLa0.5,1.4e-53
UG50230.c99f3s3|may13.P2.MID53-54.IAK27MS02H4ADC|UG50230|Uganda_Kyenjojo;sample=UG50230;size=3;,DBLa0.23,6.7e-43
BK400.c39f18s20|apr11.P2.MID18.GY7WJEE02DF52Y.HiQual|BK400|Gabon_Bakoumba;sample=BK400;size=2;,DBLa0.21,1.5e-49
BK394.c59f3s5|apr11.P3.MID17.GY7WJEE03F7X36_rc|BK394|Gabon_Bakoumba;sample=BK394;size=3;,DBLa0.1,1.4e-51
UG80198.c18f26s37|aug13.P1.MID45-45.IE15TFC01EIWMW.HiQual|UG80198|Uganda_Jinja;sample=UG80198;size=1;,DBLa0.24,1.4e-50
BK661.c5f20s30|apr11.P1.MID40.GY7WJEE01B4XJZ.HiQual|BK661|Gabon_Bakoumba;sample=BK661;size=1;,DBLa0.5,2.1e-53
MRS0027.c52f3s6|apr13.P2.MID02-04.H8MRBDT02G8MHP|MRS0027|Ghana_VeaGowrie;sample=MRS0027;size=1;,DBLa0.11,8e-29
MRS0635.c70f11s17|may13.P2.MID40-41.IAK27MS02IAY7B.HiQual|MRS0635|Ghana_Soe;sample=MRS0635;size=1;,DBLa0.6,2.4e-52
IR50.c27f5s7|oct12.P2.MID6.HWSTXOD02D3L2J.HiQual|IR50|Iran_SistanBaluchestan;sample=IR50;size=4;,DBLa0.5,5.9e-59
MRS0302.c82f8s9|apr13.P2.MID22-24.H8MRBDT02G1ACK|MRS0302|Ghana_VeaGowrie;sample=MRS0302;size=1;,DBLa0.11,1e-59
MRS0020.c3f22s34|apr13.P1.MID02-04.H8MRBDT01ETVMP.HiQual|MRS0020|Ghana_VeaGowrie;sample=MRS0020;size=9;,DBLa0.24,1.7e-48
UG30644.c14f28s36|oct12.P3.MID53.HWSTXOD03FOHIP.HiQual|UG30644|Uganda_Kanungu;sample=UG30644;size=6;,DBLa0.5,3e-55
MRS0669.c69f5s8|may13.P2.MID42-43.IAK27MS02HHLA9|MRS0669|Ghana_Soe;sample=MRS0669;size=1;,DBLa0.5,6.6e-51
UG80239.c12f23s40|aug13.P2.MID45-46.IE15TFC02JNA3Z|UG80239|Uganda_Jinja;sample=UG80239;size=4;,DBLa0.23,6e-47
UG60597.c69f7s9|mar13.P2.MID44.H6VQLNR02DNEFO|UG60597|Uganda_Apac;sample=UG60597;size=1;,DBLa0.8,6.1e-53
MRS0181.c78f4s4|apr13.P1.MID15-15.H8MRBDT01DIIYW|MRS0181|Ghana_VeaGowrie;sample=MRS0181;size=1;,DBLa0.11,2.4e-61
UG10382.c13f31s37|mar13.P2.MID14.H6VQLNR02DNCSO.HiQual|UG10382|Uganda_Tororo;sample=UG10382;size=2;,DBLa0.9,4.9e-49
BK57.c47f13s17|sep11.P4.MID3.G9JXQ6K04JA3N9.HiQual|BK57|Gabon_Bakoumba;sample=BK57;size=5;,DBLa0.1,8.2e-55
UG60486.c95f6s6|mar13.P2.MID40.H6VQLNR02DAG9U|UG60486|Uganda_Apac;sample=UG60486;size=1;,DBLa0.17,1.1e-56
MRS0493.c19f12s19|apr13.P1.MID33-33.H8MRBDT01C0MKT.HiQual|MRS0493|Ghana_Soe;sample=MRS0493;size=11;,DBLa0.9,9.3e-54
MRS0695.c219f3s3|may13.P2.MID44-45.IAK27MS02H1ONN|MRS0695|Ghana_Soe;sample=MRS0695;size=2;,DBLa0.1,9.6e-60
UG70637.c5f51s72|aug13.P2.MID11-13.IE15TFC02IBT7U.HiQual|UG70637|Uganda_Arua;sample=UG70637;size=1;,DBLa0.9,2.1e-54
UG60375.c55f4s10|mar13.P4.MID36.H6VQLNR04IANOA|UG60375|Uganda_Apac;sample=UG60375;size=1;,DBLa0.19,3.5e-55
